Fund,Month,Net Return
Lodestar Group,2023-03-01,0.84%
Lodestar Group,2023-04-01,1.8%
Lodestar Group,2023-05-01,1.07%
Lodestar Group,2023-06-01,2.63%
Lodestar Group,2023-07-01,-1.51%
Lodestar Group,2023-08-01,1.24%
Lodestar Group,2023-09-01,-1.76%
Lodestar Group,2023-10-01,-0.5%
Lodestar Group,2023-11-01,4.55%
Lodestar Group,2023-12-01,-0.77%
Lodestar Group,2024-01-01,4.96%
Lodestar Group,2024-02-01,1.06%
Lodestar Group,2024-03-01,5.04%
Lodestar Group,2024-04-01,2.4%
Lodestar Group,2024-05-01,2.23%
Lodestar Group,2024-06-01,0.63%
Lodestar Group,2024-07-01,1.48%
Lodestar Group,2024-08-01,0.85%
Lodestar Group,2024-09-01,2.01%
Lodestar Group,2024-10-01,3.62%
Lodestar Group,2024-11-01,-0.12%
Lodestar Group,2024-12-01,3.42%
Delta Strategies,2022-01-01,-2.07%
Delta Strategies,2022-02-01,1.82%
Delta Strategies,2022-03-01,3.24%
Delta Strategies,2022-04-01,-9.74%
Delta Strategies,2022-05-01,4.67%
Delta Strategies,2022-06-01,2.33%
Delta Strategies,2022-07-01,2.33%
Delta Strategies,2022-08-01,0.67%
Delta Strategies,2022-09-01,-4.29%
Delta Strategies,2022-10-01,-5%
Delta Strategies,2022-11-01,-1.13%
Delta Strategies,2022-12-01,5.23%
Delta Strategies,2023-01-01,2.46%
Delta Strategies,2023-02-01,-10.15%
Delta Strategies,2023-03-01,3.02%
Delta Strategies,2023-04-01,-2.27%
Delta Strategies,2023-05-01,6.16%
Delta Strategies,2023-06-01,6.61%
Delta Strategies,2023-07-01,2.4%
Delta Strategies,2023-08-01,2.07%
Delta Strategies,2023-09-01,-4.71%
Delta Strategies,2023-10-01,7.85%
Delta Strategies,2023-11-01,-7.38%
Delta Strategies,2023-12-01,-1.95%
Delta Strategies,2024-01-01,0.86%
Delta Strategies,2024-02-01,11.97%
Delta Strategies,2024-03-01,7.21%
Delta Strategies,2024-04-01,-5.85%
Delta Strategies,2024-05-01,-5.06%
Delta Strategies,2024-06-01,6.63%
Delta Strategies,2024-07-01,-7.69%
Delta Strategies,2024-08-01,6.8%
Delta Strategies,2024-09-01,1.62%
Delta Strategies,2024-10-01,-0.74%
Delta Strategies,2024-11-01,13.28%
Delta Strategies,2024-12-01,-1.81%
Summit Holdings,2020-01-01,6.97%
Summit Holdings,2020-02-01,3.44%
Summit Holdings,2020-03-01,-0.05%
Summit Holdings,2020-04-01,-0.72%
Summit Holdings,2020-05-01,-8.56%
Summit Holdings,2020-06-01,-3.19%
Summit Holdings,2020-07-01,0.4%
Summit Holdings,2020-08-01,5.71%
Summit Holdings,2020-09-01,-1%
Summit Holdings,2020-10-01,-0.53%
Summit Holdings,2020-11-01,-2.11%
Summit Holdings,2020-12-01,8.09%
Summit Holdings,2021-01-01,-3.04%
Summit Holdings,2021-02-01,-6.64%
Summit Holdings,2021-03-01,-0.09%
Summit Holdings,2021-04-01,-3.24%
Summit Holdings,2021-05-01,-1.54%
Summit Holdings,2021-06-01,5.93%
Summit Holdings,2021-07-01,6.88%
Summit Holdings,2021-08-01,-2.69%
Summit Holdings,2021-09-01,2.08%
Summit Holdings,2021-10-01,0.74%
Summit Holdings,2021-11-01,1.1%
Summit Holdings,2021-12-01,-3.2%
Summit Holdings,2022-01-01,-0.11%
Summit Holdings,2022-02-01,5.63%
Summit Holdings,2022-03-01,-7.76%
Summit Holdings,2022-04-01,-1.63%
Summit Holdings,2022-05-01,0.18%
Summit Holdings,2022-06-01,-1.29%
Summit Holdings,2022-07-01,19.89%
Summit Holdings,2022-08-01,-6.36%
Summit Holdings,2022-09-01,3.45%
Summit Holdings,2022-10-01,-2.44%
Summit Holdings,2022-11-01,-2.86%
Summit Holdings,2022-12-01,2.02%
Summit Holdings,2023-01-01,9.78%
Summit Holdings,2023-02-01,8.47%
Summit Holdings,2023-03-01,8.08%
Summit Holdings,2023-04-01,-1.76%
Summit Holdings,2023-05-01,-2.03%
Summit Holdings,2023-06-01,-5.01%
Summit Holdings,2023-07-01,-7.36%
Summit Holdings,2023-08-01,5.26%
Summit Holdings,2023-09-01,11.55%
Summit Holdings,2023-10-01,2.56%
Summit Holdings,2023-11-01,-6.18%
Summit Holdings,2023-12-01,0.6%
Summit Holdings,2024-01-01,3.24%
Summit Holdings,2024-02-01,5.62%
Summit Holdings,2024-03-01,5.04%
Summit Holdings,2024-04-01,-3.42%
Summit Holdings,2024-05-01,1.23%
Summit Holdings,2024-06-01,6.38%
Summit Holdings,2024-07-01,-2.18%
Summit Holdings,2024-08-01,7.69%
Summit Holdings,2024-09-01,-2.26%
Summit Holdings,2024-10-01,-10.76%
Summit Holdings,2024-11-01,1.35%
Summit Holdings,2024-12-01,-0.34%
Umbra Holdings,2022-01-01,-0.006
Umbra Holdings,2022-02-01,0.0011
Umbra Holdings,2022-03-01,-0.004
Umbra Holdings,2022-04-01,-0.0018
Umbra Holdings,2022-05-01,0.001
Umbra Holdings,2022-06-01,0.0001
Umbra Holdings,2022-07-01,0.0009
Umbra Holdings,2022-08-01,-0.0022
Umbra Holdings,2022-09-01,0.0016
Umbra Holdings,2022-10-01,-0.0002
Umbra Holdings,2022-11-01,-0.0014
Umbra Holdings,2022-12-01,0.001
Umbra Holdings,2023-01-01,-0.0016
Umbra Holdings,2023-02-01,-0.003
Umbra Holdings,2023-03-01,-0.0006
Umbra Holdings,2023-04-01,-0.0025
Umbra Holdings,2023-05-01,-0.0001
Umbra Holdings,2023-06-01,0.0016
Umbra Holdings,2023-07-01,0.002
Umbra Holdings,2023-08-01,-0.0044
Umbra Holdings,2023-09-01,-0.0024
Umbra Holdings,2023-10-01,0.0005
Umbra Holdings,2023-11-01,-0.0023
Umbra Holdings,2023-12-01,0.0021
Umbra Holdings,2024-01-01,0.0015
Umbra Holdings,2024-02-01,0.0011
Umbra Holdings,2024-03-01,0.0021
Umbra Holdings,2024-04-01,-0.0049
Umbra Holdings,2024-05-01,0.0044
Umbra Holdings,2024-06-01,-0.0012
Umbra Holdings,2024-07-01,0.0026
Umbra Holdings,2024-08-01,-0.0007
Umbra Holdings,2024-09-01,0.0047
Umbra Holdings,2024-10-01,0.0002
Umbra Holdings,2024-11-01,-0.0029
Umbra Holdings,2024-12-01,-0.0054
Alpha Fund,2018-01-01,-0.76%
Alpha Fund,2018-02-01,-0.24%
Alpha Fund,2018-03-01,0.08%
Alpha Fund,2018-04-01,0.72%
Alpha Fund,2018-05-01,0.08%
Alpha Fund,2018-06-01,0.69%
Alpha Fund,2018-07-01,-0.16%
Alpha Fund,2018-08-01,-0.45%
Alpha Fund,2018-09-01,0.05%
Alpha Fund,2018-10-01,-0.05%
Alpha Fund,2018-11-01,-0.31%
Alpha Fund,2018-12-01,-0.37%
Alpha Fund,2019-01-01,0.4%
Alpha Fund,2019-02-01,-0.08%
Alpha Fund,2019-03-01,-0.21%
Alpha Fund,2019-04-01,-0.17%
Alpha Fund,2019-05-01,-0.09%
Alpha Fund,2019-06-01,0.08%
Alpha Fund,2019-07-01,-0.01%
Alpha Fund,2019-08-01,0.07%
Alpha Fund,2019-09-01,-0.25%
Alpha Fund,2019-10-01,0%
Alpha Fund,2019-11-01,0.28%
Alpha Fund,2019-12-01,0.03%
Alpha Fund,2020-01-01,0.5%
Alpha Fund,2020-02-01,0.34%
Alpha Fund,2020-03-01,-0.37%
Alpha Fund,2020-04-01,-0.27%
Alpha Fund,2020-05-01,-0.22%
Alpha Fund,2020-06-01,0.29%
Alpha Fund,2020-07-01,-0.06%
Alpha Fund,2020-08-01,-0.51%
Alpha Fund,2020-09-01,0.35%
Alpha Fund,2020-10-01,-0.2%
Alpha Fund,2020-11-01,0.1%
Alpha Fund,2020-12-01,0.16%
Alpha Fund,2021-01-01,-0.16%
Alpha Fund,2021-02-01,0.55%
Alpha Fund,2021-03-01,-0.76%
Alpha Fund,2021-04-01,-0.08%
Alpha Fund,2021-05-01,-0.19%
Alpha Fund,2021-06-01,0.09%
Alpha Fund,2021-07-01,0.32%
Alpha Fund,2021-08-01,0.32%
Alpha Fund,2021-09-01,-0.35%
Alpha Fund,2021-10-01,-0.28%
Alpha Fund,2021-11-01,0.07%
Alpha Fund,2021-12-01,0.13%
Alpha Fund,2022-01-01,0.29%
Alpha Fund,2022-02-01,-0.27%
Alpha Fund,2022-03-01,-0.13%
Alpha Fund,2022-04-01,0.18%
Alpha Fund,2022-05-01,0.17%
Alpha Fund,2022-06-01,0.38%
Alpha Fund,2022-07-01,-0.04%
Alpha Fund,2022-08-01,-0.16%
Alpha Fund,2022-09-01,0.41%
Alpha Fund,2022-10-01,-0.39%
Alpha Fund,2022-11-01,0.39%
Alpha Fund,2022-12-01,-0.21%
Alpha Fund,2023-01-01,-0.47%
Alpha Fund,2023-02-01,0.31%
Alpha Fund,2023-03-01,-0.15%
Alpha Fund,2023-04-01,0.16%
Alpha Fund,2023-05-01,0.27%
Alpha Fund,2023-06-01,0.48%
Alpha Fund,2023-07-01,0.02%
Alpha Fund,2023-08-01,0.01%
Alpha Fund,2023-09-01,0.14%
Alpha Fund,2023-10-01,-0.33%
Alpha Fund,2023-11-01,0.25%
Alpha Fund,2023-12-01,0%
Alpha Fund,2024-01-01,-0.02%
Alpha Fund,2024-02-01,0.36%
Alpha Fund,2024-03-01,0.1%
Alpha Fund,2024-04-01,0.15%
Alpha Fund,2024-05-01,-0.54%
Alpha Fund,2024-06-01,0.14%
Alpha Fund,2024-07-01,0.48%
Alpha Fund,2024-08-01,-0.05%
Alpha Fund,2024-09-01,-0.38%
Alpha Fund,2024-10-01,-0.42%
Alpha Fund,2024-11-01,-0.43%
Alpha Fund,2024-12-01,-0.16%
Harbour Holdings,2020-01-01,2.39%
Harbour Holdings,2020-02-01,1.78%
Harbour Holdings,2020-03-01,2.05%
Harbour Holdings,2020-04-01,-4.56%
Harbour Holdings,2020-05-01,2.25%
Harbour Holdings,2020-06-01,1.44%
Harbour Holdings,2020-07-01,2.29%
Harbour Holdings,2020-08-01,0.83%
Harbour Holdings,2020-09-01,2.15%
Harbour Holdings,2020-10-01,1.87%
Harbour Holdings,2020-11-01,2.36%
Harbour Holdings,2020-12-01,-0.25%
Harbour Holdings,2021-01-01,4.14%
Harbour Holdings,2021-02-01,2.15%
Harbour Holdings,2021-03-01,1.94%
Harbour Holdings,2021-04-01,-0.11%
Harbour Holdings,2021-05-01,0.34%
Harbour Holdings,2021-06-01,2.37%
Harbour Holdings,2021-07-01,-2.28%
Harbour Holdings,2021-08-01,3.31%
Harbour Holdings,2021-09-01,0.56%
Harbour Holdings,2021-10-01,0.28%
Harbour Holdings,2021-11-01,-0.84%
Harbour Holdings,2021-12-01,2.7%
Harbour Holdings,2022-01-01,5.92%
Harbour Holdings,2022-02-01,3.57%
Harbour Holdings,2022-03-01,-0.65%
Harbour Holdings,2022-04-01,6.33%
Harbour Holdings,2022-05-01,2.39%
Harbour Holdings,2022-06-01,2.93%
Harbour Holdings,2022-07-01,1.85%
Harbour Holdings,2022-08-01,1.47%
Harbour Holdings,2022-09-01,0.16%
Harbour Holdings,2022-10-01,5.91%
Harbour Holdings,2022-11-01,2.72%
Harbour Holdings,2022-12-01,3.43%
Harbour Holdings,2023-01-01,-2.83%
Harbour Holdings,2023-02-01,0.68%
Harbour Holdings,2023-03-01,0.91%
Harbour Holdings,2023-04-01,-3.28%
Harbour Holdings,2023-05-01,-1.68%
Harbour Holdings,2023-06-01,-0.39%
Harbour Holdings,2023-07-01,0.9%
Harbour Holdings,2023-08-01,2.3%
Harbour Holdings,2023-09-01,-1.08%
Harbour Holdings,2023-10-01,1.92%
Harbour Holdings,2023-11-01,2.04%
Harbour Holdings,2023-12-01,0.96%
Harbour Holdings,2024-01-01,0.28%
Harbour Holdings,2024-02-01,4.03%
Harbour Holdings,2024-03-01,-0.4%
Harbour Holdings,2024-04-01,2.83%
Harbour Holdings,2024-05-01,-0.99%
Harbour Holdings,2024-06-01,-1.67%
Harbour Holdings,2024-07-01,1.11%
Harbour Holdings,2024-08-01,5.01%
Harbour Holdings,2024-09-01,1.64%
Harbour Holdings,2024-10-01,-0.54%
Harbour Holdings,2024-11-01,3.19%
Harbour Holdings,2024-12-01,0.44%
Brightwater Holdings,2024-01-01,-0.62%
Brightwater Holdings,2024-02-01,-0.15%
Brightwater Holdings,2024-03-01,-0.81%
Brightwater Holdings,2024-04-01,3.56%
Brightwater Holdings,2024-05-01,0.04%
Brightwater Holdings,2024-06-01,3.21%
Brightwater Holdings,2024-07-01,2.26%
Brightwater Holdings,2024-08-01,1.22%
Brightwater Holdings,2024-09-01,-0.5%
Brightwater Holdings,2024-10-01,3.78%
Brightwater Holdings,2024-11-01,0.5%
Brightwater Holdings,2024-12-01,1.13%
Cobalt Macro Fund,2023-01-01,0.0021
Cobalt Macro Fund,2023-02-01,-0.009
Cobalt Macro Fund,2023-03-01,-0.0398
Cobalt Macro Fund,2023-04-01,0.0076
Cobalt Macro Fund,2023-05-01,0.0127
Cobalt Macro Fund,2023-06-01,0.0187
Cobalt Macro Fund,2023-07-01,-0.0159
Cobalt Macro Fund,2023-08-01,0.0433
Cobalt Macro Fund,2023-09-01,-0.0777
Cobalt Macro Fund,2023-10-01,-0.0542
Cobalt Macro Fund,2023-11-01,-0.0873
Cobalt Macro Fund,2023-12-01,0.0136
Cobalt Macro Fund,2024-01-01,-0.0038
Cobalt Macro Fund,2024-02-01,-0.0047
Cobalt Macro Fund,2024-03-01,0.0258
Cobalt Macro Fund,2024-04-01,0.0285
Cobalt Macro Fund,2024-05-01,0.01
Cobalt Macro Fund,2024-06-01,-0.0073
Cobalt Macro Fund,2024-07-01,0.0153
Cobalt Macro Fund,2024-08-01,-0.0321
Cobalt Macro Fund,2024-09-01,0.0422
Cobalt Macro Fund,2024-10-01,-0.0146
Cobalt Macro Fund,2024-11-01,0.0262
Cobalt Macro Fund,2024-12-01,0.0478
Juniper Partners,2015-01-01,-0.6%
Juniper Partners,2015-02-01,0.44%
Juniper Partners,2015-03-01,0.07%
Juniper Partners,2015-04-01,-0.34%
Juniper Partners,2015-05-01,0.12%
Juniper Partners,2015-06-01,-0.42%
Juniper Partners,2015-07-01,0.67%
Juniper Partners,2015-08-01,0.16%
Juniper Partners,2015-09-01,0.13%
Juniper Partners,2015-10-01,-0.22%
Juniper Partners,2015-11-01,-0.17%
Juniper Partners,2015-12-01,0.05%
Juniper Partners,2016-01-01,0.17%
Juniper Partners,2016-02-01,0.09%
Juniper Partners,2016-03-01,0.15%
Juniper Partners,2016-04-01,-0.01%
Juniper Partners,2016-05-01,-0.17%
Juniper Partners,2016-06-01,0.48%
Juniper Partners,2016-07-01,-0.42%
Juniper Partners,2016-08-01,-0.59%
Juniper Partners,2016-09-01,-0.39%
Juniper Partners,2016-10-01,0.2%
Juniper Partners,2016-11-01,-0.12%
Juniper Partners,2016-12-01,0.16%
Juniper Partners,2017-01-01,0.03%
Juniper Partners,2017-02-01,-0.42%
Juniper Partners,2017-03-01,0.64%
Juniper Partners,2017-04-01,0.29%
Juniper Partners,2017-05-01,-0.66%
Juniper Partners,2017-06-01,0.01%
Juniper Partners,2017-07-01,-0.07%
Juniper Partners,2017-08-01,-0.11%
Juniper Partners,2017-09-01,0.41%
Juniper Partners,2017-10-01,0.1%
Juniper Partners,2017-11-01,0.02%
Juniper Partners,2017-12-01,-0.07%
Juniper Partners,2018-01-01,-0.28%
Juniper Partners,2018-02-01,0.77%
Juniper Partners,2018-03-01,-0.33%
Juniper Partners,2018-04-01,-0.18%
Juniper Partners,2018-05-01,-0.26%
Juniper Partners,2018-06-01,0.22%
Juniper Partners,2018-07-01,0.67%
Juniper Partners,2018-08-01,0.22%
Juniper Partners,2018-09-01,0.1%
Juniper Partners,2018-10-01,0.41%
Juniper Partners,2018-11-01,0.58%
Juniper Partners,2018-12-01,-0.29%
Juniper Partners,2019-01-01,-0.06%
Juniper Partners,2019-02-01,-0.03%
Juniper Partners,2019-03-01,0.21%
Juniper Partners,2019-04-01,0.04%
Juniper Partners,2019-05-01,-0.01%
Juniper Partners,2019-06-01,0.24%
Juniper Partners,2019-07-01,-0.46%
Juniper Partners,2019-08-01,-0.14%
Juniper Partners,2019-09-01,-0.52%
Juniper Partners,2019-10-01,0.27%
Juniper Partners,2019-11-01,0.15%
Juniper Partners,2019-12-01,0.42%
Juniper Partners,2020-01-01,0.14%
Juniper Partners,2020-02-01,0.08%
Juniper Partners,2020-03-01,-0.1%
Juniper Partners,2020-04-01,-0.62%
Juniper Partners,2020-05-01,-0.36%
Juniper Partners,2020-06-01,0.01%
Juniper Partners,2020-07-01,-0.51%
Juniper Partners,2020-08-01,-0.08%
Juniper Partners,2020-09-01,0.35%
Juniper Partners,2020-10-01,-0.38%
Juniper Partners,2020-11-01,-0.5%
Juniper Partners,2020-12-01,-0.37%
Juniper Partners,2021-01-01,-0.43%
Juniper Partners,2021-02-01,-0.25%
Juniper Partners,2021-03-01,0.29%
Juniper Partners,2021-04-01,-0.39%
Juniper Partners,2021-05-01,-0.26%
Juniper Partners,2021-06-01,-0.49%
Juniper Partners,2021-07-01,0.11%
Juniper Partners,2021-08-01,-0.14%
Juniper Partners,2021-09-01,0.36%
Juniper Partners,2021-10-01,-0.38%
Juniper Partners,2021-11-01,0.34%
Juniper Partners,2021-12-01,-0.46%
Juniper Partners,2022-01-01,-0.09%
Juniper Partners,2022-02-01,0.04%
Juniper Partners,2022-03-01,0%
Juniper Partners,2022-04-01,-0.14%
Juniper Partners,2022-05-01,0.4%
Juniper Partners,2022-06-01,0.3%
Juniper Partners,2022-07-01,0.03%
Juniper Partners,2022-08-01,0.34%
Juniper Partners,2022-09-01,-0.38%
Juniper Partners,2022-10-01,0.13%
Juniper Partners,2022-11-01,0.03%
Juniper Partners,2022-12-01,0.47%
Juniper Partners,2023-01-01,0.22%
Juniper Partners,2023-02-01,0.43%
Juniper Partners,2023-03-01,-0.05%
Juniper Partners,2023-04-01,0.02%
Juniper Partners,2023-05-01,0.47%
Juniper Partners,2023-06-01,0.17%
Juniper Partners,2023-07-01,-0.21%
Juniper Partners,2023-08-01,-0.01%
Juniper Partners,2023-09-01,0.46%
Juniper Partners,2023-10-01,-0.26%
Juniper Partners,2023-11-01,-0.57%
Juniper Partners,2023-12-01,0.26%
Juniper Partners,2024-01-01,-0.21%
Juniper Partners,2024-02-01,-0.22%
Juniper Partners,2024-03-01,-0.09%
Juniper Partners,2024-04-01,-0.25%
Juniper Partners,2024-05-01,-0.5%
Juniper Partners,2024-06-01,0.31%
Juniper Partners,2024-07-01,0.45%
Juniper Partners,2024-08-01,0.42%
Juniper Partners,2024-09-01,0.27%
Juniper Partners,2024-10-01,-0.1%
Juniper Partners,2024-11-01,-0.15%
Juniper Partners,2024-12-01,0.52%
Quartz Associates,2023-07-01,0.83%
Quartz Associates,2023-08-01,0.22%
Quartz Associates,2023-09-01,-0.81%
Quartz Associates,2023-10-01,2.16%
Quartz Associates,2023-11-01,2.54%
Quartz Associates,2023-12-01,3.57%
Quartz Associates,2024-01-01,-0.93%
Quartz Associates,2024-02-01,2.9%
Quartz Associates,2024-03-01,-2.18%
Quartz Associates,2024-04-01,-1.25%
Quartz Associates,2024-05-01,1.84%
Quartz Associates,2024-06-01,0.55%
Quartz Associates,2024-07-01,1.49%
Quartz Associates,2024-08-01,-0.88%
Quartz Associates,2024-09-01,0.39%
Quartz Associates,2024-10-01,0.72%
Quartz Associates,2024-11-01,-0.49%
Quartz Associates,2024-12-01,-1.28%
Quartz Capital,2018-01-01,0.2%
Quartz Capital,2018-02-01,-9.07%
Quartz Capital,2018-03-01,7.01%
Quartz Capital,2018-04-01,-9.79%
Quartz Capital,2018-05-01,-7.41%
Quartz Capital,2018-06-01,4.14%
Quartz Capital,2018-07-01,-8.03%
Quartz Capital,2018-08-01,-0.92%
Quartz Capital,2018-09-01,0.61%
Quartz Capital,2018-10-01,4.62%
Quartz Capital,2018-11-01,11.53%
Quartz Capital,2018-12-01,-3.38%
Quartz Capital,2019-01-01,4.63%
Quartz Capital,2019-02-01,8.77%
Quartz Capital,2019-03-01,-2.84%
Quartz Capital,2019-04-01,-1.27%
Quartz Capital,2019-05-01,-1.92%
Quartz Capital,2019-06-01,-1.45%
Quartz Capital,2019-07-01,4.27%
Quartz Capital,2019-08-01,3.13%
Quartz Capital,2019-09-01,-4.07%
Quartz Capital,2019-10-01,-6.25%
Quartz Capital,2019-11-01,7.73%
Quartz Capital,2019-12-01,5.52%
Quartz Capital,2020-01-01,3.65%
Quartz Capital,2020-02-01,0.45%
Quartz Capital,2020-03-01,1.72%
Quartz Capital,2020-04-01,2.46%
Quartz Capital,2020-05-01,2.27%
Quartz Capital,2020-06-01,4.25%
Quartz Capital,2020-07-01,1.03%
Quartz Capital,2020-08-01,-0.47%
Quartz Capital,2020-09-01,-6.64%
Quartz Capital,2020-10-01,6.86%
Quartz Capital,2020-11-01,1.59%
Quartz Capital,2020-12-01,2.99%
Quartz Capital,2021-01-01,-8.86%
Quartz Capital,2021-02-01,3.21%
Quartz Capital,2021-03-01,-5.57%
Quartz Capital,2021-04-01,2.97%
Quartz Capital,2021-05-01,2.29%
Quartz Capital,2021-06-01,3.99%
Quartz Capital,2021-07-01,-2.23%
Quartz Capital,2021-08-01,-3.03%
Quartz Capital,2021-09-01,-5.09%
Quartz Capital,2021-10-01,4.85%
Quartz Capital,2021-11-01,-1.63%
Quartz Capital,2021-12-01,0.7%
Quartz Capital,2022-01-01,-2.78%
Quartz Capital,2022-02-01,9.91%
Quartz Capital,2022-03-01,1.47%
Quartz Capital,2022-04-01,-0.48%
Quartz Capital,2022-05-01,8.65%
Quartz Capital,2022-06-01,7.43%
Quartz Capital,2022-07-01,0.71%
Quartz Capital,2022-08-01,-5.49%
Quartz Capital,2022-09-01,3.36%
Quartz Capital,2022-10-01,-12.15%
Quartz Capital,2022-11-01,-7.8%
Quartz Capital,2022-12-01,2.81%
Quartz Capital,2023-01-01,3.01%
Quartz Capital,2023-02-01,-7.57%
Quartz Capital,2023-03-01,2.65%
Quartz Capital,2023-04-01,2.16%
Quartz Capital,2023-05-01,-2.02%
Quartz Capital,2023-06-01,4.01%
Quartz Capital,2023-07-01,-5.2%
Quartz Capital,2023-08-01,2.5%
Quartz Capital,2023-09-01,-1.22%
Quartz Capital,2023-10-01,-3.4%
Quartz Capital,2023-11-01,-0.55%
Quartz Capital,2023-12-01,0.45%
Quartz Capital,2024-01-01,-6.93%
Quartz Capital,2024-02-01,1.64%
Quartz Capital,2024-03-01,2.51%
Quartz Capital,2024-04-01,14.36%
Quartz Capital,2024-05-01,-5.68%
Quartz Capital,2024-06-01,-11.18%
Quartz Capital,2024-07-01,-1.57%
Quartz Capital,2024-08-01,-1.29%
Quartz Capital,2024-09-01,3.8%
Quartz Capital,2024-10-01,-5.39%
Quartz Capital,2024-11-01,-0.97%
Quartz Capital,2024-12-01,4.94%
Drawbridge Asset Management,2018-01-01,0.0002
Drawbridge Asset Management,2018-02-01,0.0017
Drawbridge Asset Management,2018-03-01,0.0034
Drawbridge Asset Management,2018-04-01,-0.0002
Drawbridge Asset Management,2018-05-01,-0.0025
Drawbridge Asset Management,2018-06-01,0.0018
Drawbridge Asset Management,2018-07-01,0.0064
Drawbridge Asset Management,2018-08-01,0.0026
Drawbridge Asset Management,2018-09-01,-0.003
Drawbridge Asset Management,2018-10-01,0.0036
Drawbridge Asset Management,2018-11-01,-0.009
Drawbridge Asset Management,2018-12-01,-0.0003
Drawbridge Asset Management,2019-01-01,0.0039
Drawbridge Asset Management,2019-02-01,-0.0022
Drawbridge Asset Management,2019-03-01,0.0006
Drawbridge Asset Management,2019-04-01,0.001
Drawbridge Asset Management,2019-05-01,0.0027
Drawbridge Asset Management,2019-06-01,0.0021
Drawbridge Asset Management,2019-07-01,0.0007
Drawbridge Asset Management,2019-08-01,0.004
Drawbridge Asset Management,2019-09-01,-0.0027
Drawbridge Asset Management,2019-10-01,-0.004
Drawbridge Asset Management,2019-11-01,-0.0007
Drawbridge Asset Management,2019-12-01,0.0053
Drawbridge Asset Management,2020-01-01,0.001
Drawbridge Asset Management,2020-02-01,-0.001
Drawbridge Asset Management,2020-03-01,0.0019
Drawbridge Asset Management,2020-04-01,0.0032
Drawbridge Asset Management,2020-05-01,0.0052
Drawbridge Asset Management,2020-06-01,0.0014
Drawbridge Asset Management,2020-07-01,-0.0034
Drawbridge Asset Management,2020-08-01,-0.0043
Drawbridge Asset Management,2020-09-01,-0.0007
Drawbridge Asset Management,2020-10-01,-0.0017
Drawbridge Asset Management,2020-11-01,0.0005
Drawbridge Asset Management,2020-12-01,-0.0021
Drawbridge Asset Management,2021-01-01,-0.0034
Drawbridge Asset Management,2021-02-01,0.0038
Drawbridge Asset Management,2021-03-01,0.0019
Drawbridge Asset Management,2021-04-01,0.0046
Drawbridge Asset Management,2021-05-01,-0.0024
Drawbridge Asset Management,2021-06-01,0.0016
Drawbridge Asset Management,2021-07-01,0.0038
Drawbridge Asset Management,2021-08-01,-0.0044
Drawbridge Asset Management,2021-09-01,0.0007
Drawbridge Asset Management,2021-10-01,0.0032
Drawbridge Asset Management,2021-11-01,-0.0007
Drawbridge Asset Management,2021-12-01,-0.0029
Drawbridge Asset Management,2022-01-01,-0.0081
Drawbridge Asset Management,2022-02-01,-0.0024
Drawbridge Asset Management,2022-03-01,0.001
Drawbridge Asset Management,2022-04-01,0.0015
Drawbridge Asset Management,2022-05-01,0.0007
Drawbridge Asset Management,2022-06-01,0.0009
Drawbridge Asset Management,2022-07-01,-0.0026
Drawbridge Asset Management,2022-08-01,-0.0025
Drawbridge Asset Management,2022-09-01,-0.0036
Drawbridge Asset Management,2022-10-01,-0.0008
Drawbridge Asset Management,2022-11-01,-0.0008
Drawbridge Asset Management,2022-12-01,-0.0055
Drawbridge Asset Management,2023-01-01,-0.0027
Drawbridge Asset Management,2023-02-01,0.0022
Drawbridge Asset Management,2023-03-01,-0.001
Drawbridge Asset Management,2023-04-01,0.0008
Drawbridge Asset Management,2023-05-01,0.0024
Drawbridge Asset Management,2023-06-01,-0.0025
Drawbridge Asset Management,2023-07-01,-0.0037
Drawbridge Asset Management,2023-08-01,-0.0044
Drawbridge Asset Management,2023-09-01,0.0059
Drawbridge Asset Management,2023-10-01,0.0046
Drawbridge Asset Management,2023-11-01,-0.0055
Drawbridge Asset Management,2023-12-01,-0.0015
Drawbridge Asset Management,2024-01-01,-0.0027
Drawbridge Asset Management,2024-02-01,0.0063
Drawbridge Asset Management,2024-03-01,0.0035
Drawbridge Asset Management,2024-04-01,-0.0006
Drawbridge Asset Management,2024-05-01,-0.0031
Drawbridge Asset Management,2024-06-01,-0.0008
Drawbridge Asset Management,2024-07-01,-0.0025
Drawbridge Asset Management,2024-08-01,-0.0011
Drawbridge Asset Management,2024-09-01,-0.001
Drawbridge Asset Management,2024-10-01,-0.0021
Drawbridge Asset Management,2024-11-01,0.004
Drawbridge Asset Management,2024-12-01,0.0019
Ironwood Partners,2024-07-01,2.4%
Ironwood Partners,2024-08-01,3.04%
Ironwood Partners,2024-09-01,-1.06%
Ironwood Partners,2024-10-01,-1.26%
Ironwood Partners,2024-11-01,-3.21%
Ironwood Partners,2024-12-01,-0.06%
Umbra Fund,2015-01-01,0.65%
Umbra Fund,2015-02-01,1.23%
Umbra Fund,2015-03-01,1.09%
Umbra Fund,2015-04-01,0.71%
Umbra Fund,2015-05-01,2.56%
Umbra Fund,2015-06-01,-1.03%
Umbra Fund,2015-07-01,0.58%
Umbra Fund,2015-08-01,-0.52%
Umbra Fund,2015-09-01,0.21%
Umbra Fund,2015-10-01,2.27%
Umbra Fund,2015-11-01,0.38%
Umbra Fund,2015-12-01,-1.01%
